TotalSteps,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,TotalActiveMinutes,TotalDistance,ActivityDayName,TotalMinutesAsleep,TotalTimeInBed,WeightKg,Heightm,BMI
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,327,346,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,750,775,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,503,546,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,274,469,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,501,541,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,429,457,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,425,439,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,441,464,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,419,438,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,366,387,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,514,525,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,338,356,119.65327960069362,1.832443883567935,35.633890347713674
13162,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,366,8.489999949932098,Tuesday,458,493,119.65327960069362,1.832443883567935,35.633890347713674
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,327,346,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,750,775,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,503,546,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,274,469,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,501,541,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,429,457,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,425,439,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,441,464,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,419,438,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,366,387,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,514,525,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,338,356,71.71588323153861,1.735512770757216,23.810018008665505
8163,1432,1294,146,0,0,0.0,5.30999994277954,0.0,0.0,146,5.30999994277954,Tuesday,458,493,71.71588323153861,1.735512770757216,23.810018008665505
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,327,346,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,750,775,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,503,546,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,274,469,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,501,541,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,429,457,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,425,439,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,441,464,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,419,438,44.47389790429047,1.4318028994210148,21.693954236936516
10694,3199,1131,256,51,2,0.0,5.32999992370605,2.29999995231628,0.140000000596046,309,7.769999876618376,Tuesday,366,387,44.47389790429047,1.4318028994210148,21.693954236936516
