AgeGroup,Gender,WeightKg,Heightm,ActivityDayName,TotalMinutesAsleep,SedentaryMinutes,TotalActiveMinutes,TotalDistancekm,CaloriesBurnt,TotalSteps
65+,Male,119.65327960069362,1.832443883567935,Tuesday,327,728,366,8.489999949932098,1985,13162
25-34,Male,119.65327960069362,1.832443883567935,Tuesday,750,728,366,8.489999949932098,1985,13162
65+,Female,119.65327960069362,1.832443883567935,Tuesday,503,728,366,8.489999949932098,1985,13162
35-44,Male,119.65327960069362,1.832443883567935,Tuesday,274,728,366,8.489999949932098,1985,13162
65+,Male,119.65327960069362,1.832443883567935,Tuesday,501,728,366,8.489999949932098,1985,13162
65+,Female,119.65327960069362,1.832443883567935,Tuesday,429,728,366,8.489999949932098,1985,13162
65+,Male,119.65327960069362,1.832443883567935,Tuesday,425,728,366,8.489999949932098,1985,13162
45-54,Female,119.65327960069362,1.832443883567935,Tuesday,441,728,366,8.489999949932098,1985,13162
25-34,Male,119.65327960069362,1.832443883567935,Tuesday,419,728,366,8.489999949932098,1985,13162
35-44,Female,119.65327960069362,1.832443883567935,Tuesday,366,728,366,8.489999949932098,1985,13162
18-24,Male,119.65327960069362,1.832443883567935,Tuesday,514,728,366,8.489999949932098,1985,13162
18-24,Female,119.65327960069362,1.832443883567935,Tuesday,338,728,366,8.489999949932098,1985,13162
45-54,Female,119.65327960069362,1.832443883567935,Tuesday,458,728,366,8.489999949932098,1985,13162
45-54,Male,71.71588323153861,1.735512770757216,Tuesday,327,1294,146,5.30999994277954,1432,8163
65+,Male,71.71588323153861,1.735512770757216,Tuesday,750,1294,146,5.30999994277954,1432,8163
55-64,Female,71.71588323153861,1.735512770757216,Tuesday,503,1294,146,5.30999994277954,1432,8163
45-54,Male,71.71588323153861,1.735512770757216,Tuesday,274,1294,146,5.30999994277954,1432,8163
25-34,Female,71.71588323153861,1.735512770757216,Tuesday,501,1294,146,5.30999994277954,1432,8163
25-34,Female,71.71588323153861,1.735512770757216,Tuesday,429,1294,146,5.30999994277954,1432,8163
35-44,Male,71.71588323153861,1.735512770757216,Tuesday,425,1294,146,5.30999994277954,1432,8163
35-44,Female,71.71588323153861,1.735512770757216,Tuesday,441,1294,146,5.30999994277954,1432,8163
25-34,Male,71.71588323153861,1.735512770757216,Tuesday,419,1294,146,5.30999994277954,1432,8163
18-24,Female,71.71588323153861,1.735512770757216,Tuesday,366,1294,146,5.30999994277954,1432,8163
18-24,Male,71.71588323153861,1.735512770757216,Tuesday,514,1294,146,5.30999994277954,1432,8163
25-34,Female,71.71588323153861,1.735512770757216,Tuesday,338,1294,146,5.30999994277954,1432,8163
45-54,Female,71.71588323153861,1.735512770757216,Tuesday,458,1294,146,5.30999994277954,1432,8163
18-24,Male,44.47389790429047,1.4318028994210148,Tuesday,327,1131,309,7.769999876618376,3199,10694
18-24,Female,44.47389790429047,1.4318028994210148,Tuesday,750,1131,309,7.769999876618376,3199,10694
65+,Female,44.47389790429047,1.4318028994210148,Tuesday,503,1131,309,7.769999876618376,3199,10694
18-24,Male,44.47389790429047,1.4318028994210148,Tuesday,274,1131,309,7.769999876618376,3199,10694
25-34,Female,44.47389790429047,1.4318028994210148,Tuesday,501,1131,309,7.769999876618376,3199,10694
25-34,Female,44.47389790429047,1.4318028994210148,Tuesday,429,1131,309,7.769999876618376,3199,10694
35-44,Male,44.47389790429047,1.4318028994210148,Tuesday,425,1131,309,7.769999876618376,3199,10694
55-64,Female,44.47389790429047,1.4318028994210148,Tuesday,441,1131,309,7.769999876618376,3199,10694
45-54,Female,44.47389790429047,1.4318028994210148,Tuesday,419,1131,309,7.769999876618376,3199,10694
65+,Female,44.47389790429047,1.4318028994210148,Tuesday,366,1131,309,7.769999876618376,3199,10694
45-54,Female,44.47389790429047,1.4318028994210148,Tuesday,514,1131,309,7.769999876618376,3199,10694
65+,Male,44.47389790429047,1.4318028994210148,Tuesday,338,1131,309,7.769999876618376,3199,10694
35-44,Female,44.47389790429047,1.4318028994210148,Tuesday,458,1131,309,7.769999876618376,3199,10694
35-44,Female,58.59695295992614,1.6946274225169309,Tuesday,327,1101,339,4.42999982833862,2030,6697
25-34,Female,58.59695295992614,1.6946274225169309,Tuesday,750,1101,339,4.42999982833862,2030,6697
65+,Male,58.59695295992614,1.6946274225169309,Tuesday,503,1101,339,4.42999982833862,2030,6697
55-64,Male,58.59695295992614,1.6946274225169309,Tuesday,274,1101,339,4.42999982833862,2030,6697
18-24,Female,58.59695295992614,1.6946274225169309,Tuesday,501,1101,339,4.42999982833862,2030,6697
25-34,Female,58.59695295992614,1.6946274225169309,Tuesday,429,1101,339,4.42999982833862,2030,6697
18-24,Female,58.59695295992614,1.6946274225169309,Tuesday,425,1101,339,4.42999982833862,2030,6697
65+,Male,58.59695295992614,1.6946274225169309,Tuesday,441,1101,339,4.42999982833862,2030,6697
55-64,Female,58.59695295992614,1.6946274225169309,Tuesday,419,1101,339,4.42999982833862,2030,6697
18-24,Male,58.59695295992614,1.6946274225169309,Tuesday,366,1101,339,4.42999982833862,2030,6697
35-44,Male,58.59695295992614,1.6946274225169309,Tuesday,514,1101,339,4.42999982833862,2030,6697
18-24,Female,58.59695295992614,1.6946274225169309,Tuesday,338,1101,339,4.42999982833862,2030,6697
25-34,Female,58.59695295992614,1.6946274225169309,Tuesday,458,1101,339,4.42999982833862,2030,6697
65+,Female,45.611923180784174,1.4060526943979363,Tuesday,327,734,55,0.469999998807907,2220,678
65+,Female,45.611923180784174,1.4060526943979363,Tuesday,750,734,55,0.469999998807907,2220,678
35-44,Male,45.611923180784174,1.4060526943979363,Tuesday,503,734,55,0.469999998807907,2220,678
65+,Female,45.611923180784174,1.4060526943979363,Tuesday,274,734,55,0.469999998807907,2220,678
45-54,Male,45.611923180784174,1.4060526943979363,Tuesday,501,734,55,0.469999998807907,2220,678
18-24,Female,45.611923180784174,1.4060526943979363,Tuesday,429,734,55,0.469999998807907,2220,678
25-34,Male,45.611923180784174,1.4060526943979363,Tuesday,425,734,55,0.469999998807907,2220,678
35-44,Female,45.611923180784174,1.4060526943979363,Tuesday,441,734,55,0.469999998807907,2220,678
35-44,Female,45.611923180784174,1.4060526943979363,Tuesday,419,734,55,0.469999998807907,2220,678
65+,Male,45.611923180784174,1.4060526943979363,Tuesday,366,734,55,0.469999998807907,2220,678
18-24,Male,45.611923180784174,1.4060526943979363,Tuesday,514,734,55,0.469999998807907,2220,678
65+,Male,45.611923180784174,1.4060526943979363,Tuesday,338,734,55,0.469999998807907,2220,678
55-64,Male,45.611923180784174,1.4060526943979363,Tuesday,458,734,55,0.469999998807907,2220,678
25-34,Male,116.03962812050716,1.9132693593292205,Tuesday,327,1157,283,8.340000152587894,2390,11875
35-44,Male,116.03962812050716,1.9132693593292205,Tuesday,750,1157,283,8.340000152587894,2390,11875
25-34,Male,116.03962812050716,1.9132693593292205,Tuesday,503,1157,283,8.340000152587894,2390,11875
35-44,Female,116.03962812050716,1.9132693593292205,Tuesday,274,1157,283,8.340000152587894,2390,11875
45-54,Male,116.03962812050716,1.9132693593292205,Tuesday,501,1157,283,8.340000152587894,2390,11875
65+,Male,116.03962812050716,1.9132693593292205,Tuesday,429,1157,283,8.340000152587894,2390,11875
35-44,Female,116.03962812050716,1.9132693593292205,Tuesday,425,1157,283,8.340000152587894,2390,11875
65+,Female,116.03962812050716,1.9132693593292205,Tuesday,441,1157,283,8.340000152587894,2390,11875
18-24,Female,116.03962812050716,1.9132693593292205,Tuesday,419,1157,283,8.340000152587894,2390,11875
55-64,Male,116.03962812050716,1.9132693593292205,Tuesday,366,1157,283,8.340000152587894,2390,11875
25-34,Female,116.03962812050716,1.9132693593292205,Tuesday,514,1157,283,8.340000152587894,2390,11875
55-64,Female,116.03962812050716,1.9132693593292205,Tuesday,338,1157,283,8.340000152587894,2390,11875
55-64,Female,116.03962812050716,1.9132693593292205,Tuesday,458,1157,283,8.340000152587894,2390,11875
18-24,Male,69.51251371409886,1.4923493288212617,Tuesday,327,706,192,2.74000003933907,1459,4414
18-24,Male,69.51251371409886,1.4923493288212617,Tuesday,750,706,192,2.74000003933907,1459,4414
45-54,Male,69.51251371409886,1.4923493288212617,Tuesday,503,706,192,2.74000003933907,1459,4414
18-24,Male,69.51251371409886,1.4923493288212617,Tuesday,274,706,192,2.74000003933907,1459,4414
45-54,Male,69.51251371409886,1.4923493288212617,Tuesday,501,706,192,2.74000003933907,1459,4414
25-34,Female,69.51251371409886,1.4923493288212617,Tuesday,429,706,192,2.74000003933907,1459,4414
65+,Male,69.51251371409886,1.4923493288212617,Tuesday,425,706,192,2.74000003933907,1459,4414
25-34,Female,69.51251371409886,1.4923493288212617,Tuesday,441,706,192,2.74000003933907,1459,4414
18-24,Female,69.51251371409886,1.4923493288212617,Tuesday,419,706,192,2.74000003933907,1459,4414
65+,Male,69.51251371409886,1.4923493288212617,Tuesday,366,706,192,2.74000003933907,1459,4414
45-54,Female,69.51251371409886,1.4923493288212617,Tuesday,514,706,192,2.74000003933907,1459,4414
18-24,Male,69.51251371409886,1.4923493288212617,Tuesday,338,706,192,2.74000003933907,1459,4414
25-34,Female,69.51251371409886,1.4923493288212617,Tuesday,458,706,192,2.74000003933907,1459,4414
45-54,Female,51.14495950705607,1.774361660936259,Tuesday,327,1112,328,7.490000188350686,2124,10725
25-34,Female,51.14495950705607,1.774361660936259,Tuesday,750,1112,328,7.490000188350686,2124,10725
18-24,Female,51.14495950705607,1.774361660936259,Tuesday,503,1112,328,7.490000188350686,2124,10725
45-54,Male,51.14495950705607,1.774361660936259,Tuesday,274,1112,328,7.490000188350686,2124,10725
35-44,Female,51.14495950705607,1.774361660936259,Tuesday,501,1112,328,7.490000188350686,2124,10725
55-64,Female,51.14495950705607,1.774361660936259,Tuesday,429,1112,328,7.490000188350686,2124,10725
45-54,Female,51.14495950705607,1.774361660936259,Tuesday,425,1112,328,7.490000188350686,2124,10725
55-64,Female,51.14495950705607,1.774361660936259,Tuesday,441,1112,328,7.490000188350686,2124,10725
45-54,Male,51.14495950705607,1.774361660936259,Tuesday,419,1112,328,7.490000188350686,2124,10725
55-64,Male,51.14495950705607,1.774361660936259,Tuesday,366,1112,328,7.490000188350686,2124,10725
65+,Female,51.14495950705607,1.774361660936259,Tuesday,514,1112,328,7.490000188350686,2124,10725
35-44,Male,51.14495950705607,1.774361660936259,Tuesday,338,1112,328,7.490000188350686,2124,10725
